account_id,segment,term_months,renewal_date,notes
ACCT-1001,Mid-Market,12,2026-01-04,Renewal discount 5 percent
ACCT-1002,SMB,18,2026-01-07,Custom data retention
ACCT-1003,Enterprise,24,2026-01-10,Standard support tier
ACCT-1004,Mid-Market,36,2026-01-13,Includes dedicated TAM
ACCT-1005,SMB,6,2026-01-16,Annual prepay
ACCT-1006,Enterprise,12,2026-01-19,Security review completed
ACCT-1007,Mid-Market,18,2026-01-22,Monthly billing
ACCT-1008,SMB,24,2026-01-25,Custom SLA 99.95
ACCT-1009,Enterprise,36,2026-01-28,Onboarding in progress
ACCT-1010,Mid-Market,6,2026-01-31,Data residency EU
ACCT-1011,SMB,12,2026-02-03,Includes premium support
ACCT-1012,Enterprise,18,2026-02-06,Renewal discount 5 percent
ACCT-1013,Mid-Market,24,2026-02-09,Custom data retention
ACCT-1014,SMB,36,2026-02-12,Standard support tier
ACCT-1015,Enterprise,6,2026-02-15,Includes dedicated TAM
ACCT-1016,Mid-Market,12,2026-02-18,Annual prepay
ACCT-1017,SMB,18,2026-02-21,Security review completed
ACCT-1018,Enterprise,24,2026-02-24,Monthly billing
ACCT-1019,Mid-Market,36,2026-02-27,Custom SLA 99.95
ACCT-1020,SMB,6,2026-03-02,Onboarding in progress
ACCT-1021,Enterprise,12,2026-03-05,Data residency EU
ACCT-1022,Mid-Market,18,2026-03-08,Includes premium support
ACCT-1023,SMB,24,2026-03-11,Renewal discount 5 percent
ACCT-1024,Enterprise,36,2026-03-14,Custom data retention
ACCT-1025,Mid-Market,6,2026-03-17,Standard support tier
ACCT-1026,SMB,12,2026-03-20,Includes dedicated TAM
ACCT-1027,Enterprise,18,2026-03-23,Annual prepay
ACCT-1028,Mid-Market,24,2026-03-26,Security review completed
ACCT-1029,SMB,36,2026-03-29,Monthly billing
ACCT-1030,Enterprise,6,2026-04-01,Custom SLA 99.95
ACCT-1031,Mid-Market,12,2026-04-04,Onboarding in progress
ACCT-1032,SMB,18,2026-04-07,Data residency EU
ACCT-1033,Enterprise,24,2026-04-10,Includes premium support
ACCT-1034,Mid-Market,36,2026-04-13,Renewal discount 5 percent
ACCT-1035,SMB,6,2026-04-16,Custom data retention
ACCT-1036,Enterprise,12,2026-04-19,Standard support tier
ACCT-1037,Mid-Market,18,2026-04-22,Includes dedicated TAM
ACCT-1038,SMB,24,2026-04-25,Annual prepay
ACCT-1039,Enterprise,36,2026-04-28,Security review completed
ACCT-1040,Mid-Market,6,2026-05-01,Monthly billing
ACCT-1041,SMB,12,2026-05-04,Custom SLA 99.95
ACCT-1042,Enterprise,18,2026-05-07,Onboarding in progress
ACCT-1043,Mid-Market,24,2026-05-10,Data residency EU
ACCT-1044,SMB,36,2026-05-13,Includes premium support
ACCT-1045,Enterprise,6,2026-05-16,Renewal discount 5 percent
ACCT-1046,Mid-Market,12,2026-05-19,Custom data retention
ACCT-1047,SMB,18,2026-05-22,Standard support tier
ACCT-1048,Enterprise,24,2026-05-25,Includes dedicated TAM
ACCT-1049,Mid-Market,36,2026-05-28,Annual prepay
ACCT-1050,SMB,6,2026-05-31,Security review completed
ACCT-1051,Enterprise,12,2026-06-03,Monthly billing
ACCT-1052,Mid-Market,18,2026-06-06,Custom SLA 99.95
ACCT-1053,SMB,24,2026-06-09,Onboarding in progress
ACCT-1054,Enterprise,36,2026-06-12,Data residency EU
ACCT-1055,Mid-Market,6,2026-06-15,Includes premium support
ACCT-1056,SMB,12,2026-06-18,Renewal discount 5 percent
ACCT-1057,Enterprise,18,2026-06-21,Custom data retention
ACCT-1058,Mid-Market,24,2026-06-24,Standard support tier
ACCT-1059,SMB,36,2026-06-27,Includes dedicated TAM
ACCT-1060,Enterprise,6,2026-06-30,Annual prepay
ACCT-1061,Mid-Market,12,2026-07-03,Security review completed
ACCT-1062,SMB,18,2026-07-06,Monthly billing
ACCT-1063,Enterprise,24,2026-07-09,Custom SLA 99.95
ACCT-1064,Mid-Market,36,2026-07-12,Onboarding in progress
ACCT-1065,SMB,6,2026-07-15,Data residency EU
ACCT-1066,Enterprise,12,2026-07-18,Includes premium support
ACCT-1067,Mid-Market,18,2026-07-21,Renewal discount 5 percent
ACCT-1068,SMB,24,2026-07-24,Custom data retention
ACCT-1069,Enterprise,36,2026-07-27,Standard support tier
ACCT-1070,Mid-Market,6,2026-07-30,Includes dedicated TAM
ACCT-1071,SMB,12,2026-08-02,Annual prepay
ACCT-1072,Enterprise,18,2026-08-05,Security review completed
ACCT-1073,Mid-Market,24,2026-08-08,Monthly billing
ACCT-1074,SMB,36,2026-08-11,Custom SLA 99.95
ACCT-1075,Enterprise,6,2026-08-14,Onboarding in progress
ACCT-1076,Mid-Market,12,2026-08-17,Data residency EU
ACCT-1077,SMB,18,2026-08-20,Includes premium support
ACCT-1078,Enterprise,24,2026-08-23,Renewal discount 5 percent
ACCT-1079,Mid-Market,36,2026-08-26,Custom data retention
ACCT-1080,SMB,6,2026-08-29,Standard support tier
ACCT-1081,Enterprise,12,2026-09-01,Includes dedicated TAM
ACCT-1082,Mid-Market,18,2026-09-04,Annual prepay
ACCT-1083,SMB,24,2026-09-07,Security review completed
ACCT-1084,Enterprise,36,2026-09-10,Monthly billing
ACCT-1085,Mid-Market,6,2026-09-13,Custom SLA 99.95
ACCT-1086,SMB,12,2026-09-16,Onboarding in progress
ACCT-1087,Enterprise,18,2026-09-19,Data residency EU
ACCT-1088,Mid-Market,24,2026-09-22,Includes premium support
ACCT-1089,SMB,36,2026-09-25,Renewal discount 5 percent
ACCT-1090,Enterprise,6,2026-09-28,Custom data retention
ACCT-1091,Mid-Market,12,2026-10-01,Standard support tier
ACCT-1092,SMB,18,2026-10-04,Includes dedicated TAM
ACCT-1093,Enterprise,24,2026-10-07,Annual prepay
ACCT-1094,Mid-Market,36,2026-10-10,Security review completed
ACCT-1095,SMB,6,2026-10-13,Monthly billing
ACCT-1096,Enterprise,12,2026-10-16,Custom SLA 99.95
ACCT-1097,Mid-Market,18,2026-10-19,Onboarding in progress
ACCT-1098,SMB,24,2026-10-22,Data residency EU
ACCT-1099,Enterprise,36,2026-10-25,Includes premium support
ACCT-1100,Mid-Market,6,2026-10-28,Renewal discount 5 percent
ACCT-1101,SMB,12,2026-10-31,Custom data retention
ACCT-1102,Enterprise,18,2026-11-03,Standard support tier
ACCT-1103,Mid-Market,24,2026-11-06,Includes dedicated TAM
ACCT-1104,SMB,36,2026-11-09,Annual prepay
ACCT-1105,Enterprise,6,2026-11-12,Security review completed
ACCT-1106,Mid-Market,12,2026-11-15,Monthly billing
ACCT-1107,SMB,18,2026-11-18,Custom SLA 99.95
ACCT-1108,Enterprise,24,2026-11-21,Onboarding in progress
ACCT-1109,Mid-Market,36,2026-11-24,Data residency EU
ACCT-1110,SMB,6,2026-11-27,Includes premium support
ACCT-1111,Enterprise,12,2026-11-30,Renewal discount 5 percent
ACCT-1112,Mid-Market,18,2026-12-03,Custom data retention
ACCT-1113,SMB,24,2026-12-06,Standard support tier
ACCT-1114,Enterprise,36,2026-12-09,Includes dedicated TAM
ACCT-1115,Mid-Market,6,2026-12-12,Annual prepay
ACCT-1116,SMB,12,2026-12-15,Security review completed
ACCT-1117,Enterprise,18,2026-12-18,Monthly billing
ACCT-1118,Mid-Market,24,2026-12-21,Custom SLA 99.95
ACCT-1119,SMB,36,2026-12-24,Onboarding in progress
ACCT-1120,Enterprise,6,2026-12-27,Data residency EU
ACCT-1121,Mid-Market,12,2026-12-30,Includes premium support
ACCT-1122,SMB,18,2027-01-02,Renewal discount 5 percent
ACCT-1123,Enterprise,24,2027-01-05,Custom data retention
ACCT-1124,Mid-Market,36,2027-01-08,Standard support tier
ACCT-1125,SMB,6,2027-01-11,Includes dedicated TAM
ACCT-1126,Enterprise,12,2027-01-14,Annual prepay
ACCT-1127,Mid-Market,18,2027-01-17,Security review completed
ACCT-1128,SMB,24,2027-01-20,Monthly billing
ACCT-1129,Enterprise,36,2027-01-23,Custom SLA 99.95
ACCT-1130,Mid-Market,6,2027-01-26,Onboarding in progress
ACCT-1131,SMB,12,2027-01-29,Data residency EU
ACCT-1132,Enterprise,18,2027-02-01,Includes premium support
ACCT-1133,Mid-Market,24,2027-02-04,Renewal discount 5 percent
ACCT-1134,SMB,36,2027-02-07,Custom data retention
ACCT-1135,Enterprise,6,2027-02-10,Standard support tier
ACCT-1136,Mid-Market,12,2027-02-13,Includes dedicated TAM
ACCT-1137,SMB,18,2027-02-16,Annual prepay
ACCT-1138,Enterprise,24,2027-02-19,Security review completed
ACCT-1139,Mid-Market,36,2027-02-22,Monthly billing
ACCT-1140,SMB,6,2027-02-25,Custom SLA 99.95
ACCT-1141,Enterprise,12,2027-02-28,Onboarding in progress
ACCT-1142,Mid-Market,18,2027-03-03,Data residency EU
ACCT-1143,SMB,24,2027-03-06,Includes premium support
ACCT-1144,Enterprise,36,2027-03-09,Renewal discount 5 percent
ACCT-1145,Mid-Market,6,2027-03-12,Custom data retention
ACCT-1146,SMB,12,2027-03-15,Standard support tier
ACCT-1147,Enterprise,18,2027-03-18,Includes dedicated TAM
ACCT-1148,Mid-Market,24,2027-03-21,Annual prepay
ACCT-1149,SMB,36,2027-03-24,Security review completed
ACCT-1150,Enterprise,6,2027-03-27,Monthly billing
ACCT-1151,Mid-Market,12,2027-03-30,Custom SLA 99.95
ACCT-1152,SMB,18,2027-04-02,Onboarding in progress
ACCT-1153,Enterprise,24,2027-04-05,Data residency EU
ACCT-1154,Mid-Market,36,2027-04-08,Includes premium support
ACCT-1155,SMB,6,2027-04-11,Renewal discount 5 percent
ACCT-1156,Enterprise,12,2027-04-14,Custom data retention
ACCT-1157,Mid-Market,18,2027-04-17,Standard support tier
ACCT-1158,SMB,24,2027-04-20,Includes dedicated TAM
ACCT-1159,Enterprise,36,2027-04-23,Annual prepay
ACCT-1160,Mid-Market,6,2027-04-26,Security review completed
ACCT-1161,SMB,12,2027-04-29,Monthly billing
ACCT-1162,Enterprise,18,2027-05-02,Custom SLA 99.95
ACCT-1163,Mid-Market,24,2027-05-05,Onboarding in progress
ACCT-1164,SMB,36,2027-05-08,Data residency EU
ACCT-1165,Enterprise,6,2027-05-11,Includes premium support
ACCT-1166,Mid-Market,12,2027-05-14,Renewal discount 5 percent
ACCT-1167,SMB,18,2027-05-17,Custom data retention
ACCT-1168,Enterprise,24,2027-05-20,Standard support tier
ACCT-1169,Mid-Market,36,2027-05-23,Includes dedicated TAM
ACCT-1170,SMB,6,2027-05-26,Annual prepay
ACCT-1171,Enterprise,12,2027-05-29,Security review completed
ACCT-1172,Mid-Market,18,2027-06-01,Monthly billing
ACCT-1173,SMB,24,2027-06-04,Custom SLA 99.95
ACCT-1174,Enterprise,36,2027-06-07,Onboarding in progress
ACCT-1175,Mid-Market,6,2027-06-10,Data residency EU
ACCT-1176,SMB,12,2027-06-13,Includes premium support
ACCT-1177,Enterprise,18,2027-06-16,Renewal discount 5 percent
ACCT-1178,Mid-Market,24,2027-06-19,Custom data retention
ACCT-1179,SMB,36,2027-06-22,Standard support tier
ACCT-1180,Enterprise,6,2027-06-25,Includes dedicated TAM
ACCT-1181,Mid-Market,12,2027-06-28,Annual prepay
ACCT-1182,SMB,18,2027-07-01,Security review completed
ACCT-1183,Enterprise,24,2027-07-04,Monthly billing
ACCT-1184,Mid-Market,36,2027-07-07,Custom SLA 99.95
ACCT-1185,SMB,6,2027-07-10,Onboarding in progress
ACCT-1186,Enterprise,12,2027-07-13,Data residency EU
ACCT-1187,Mid-Market,18,2027-07-16,Includes premium support
ACCT-1188,SMB,24,2027-07-19,Renewal discount 5 percent
ACCT-1189,Enterprise,36,2027-07-22,Custom data retention
ACCT-1190,Mid-Market,6,2027-07-25,Standard support tier
ACCT-1191,SMB,12,2027-07-28,Includes dedicated TAM
ACCT-1192,Enterprise,18,2027-07-31,Annual prepay
ACCT-1193,Mid-Market,24,2027-08-03,Security review completed
ACCT-1194,SMB,36,2027-08-06,Monthly billing
ACCT-1195,Enterprise,6,2027-08-09,Custom SLA 99.95
ACCT-1196,Mid-Market,12,2027-08-12,Onboarding in progress
ACCT-1197,SMB,18,2027-08-15,Data residency EU
ACCT-1198,Enterprise,24,2027-08-18,Includes premium support
ACCT-1199,Mid-Market,36,2027-08-21,Renewal discount 5 percent
ACCT-1200,SMB,6,2027-08-24,Custom data retention
ACCT-1201,Enterprise,12,2027-08-27,Standard support tier
ACCT-1202,Mid-Market,18,2027-08-30,Includes dedicated TAM
ACCT-1203,SMB,24,2027-09-02,Annual prepay
ACCT-1204,Enterprise,36,2027-09-05,Security review completed
ACCT-1205,Mid-Market,6,2027-09-08,Monthly billing
ACCT-1206,SMB,12,2027-09-11,Custom SLA 99.95
ACCT-1207,Enterprise,18,2027-09-14,Onboarding in progress
ACCT-1208,Mid-Market,24,2027-09-17,Data residency EU
ACCT-1209,SMB,36,2027-09-20,Includes premium support
ACCT-1210,Enterprise,6,2027-09-23,Renewal discount 5 percent
ACCT-1211,Mid-Market,12,2027-09-26,Custom data retention
ACCT-1212,SMB,18,2027-09-29,Standard support tier
ACCT-1213,Enterprise,24,2027-10-02,Includes dedicated TAM
ACCT-1214,Mid-Market,36,2027-10-05,Annual prepay
ACCT-1215,SMB,6,2027-10-08,Security review completed
ACCT-1216,Enterprise,12,2027-10-11,Monthly billing
ACCT-1217,Mid-Market,18,2027-10-14,Custom SLA 99.95
ACCT-1218,SMB,24,2027-10-17,Onboarding in progress
ACCT-1219,Enterprise,36,2027-10-20,Data residency EU
ACCT-1220,Mid-Market,6,2027-10-23,Includes premium support
ACCT-1221,SMB,12,2027-10-26,Renewal discount 5 percent
ACCT-1222,Enterprise,18,2027-10-29,Custom data retention
ACCT-1223,Mid-Market,24,2027-11-01,Standard support tier
ACCT-1224,SMB,36,2027-11-04,Includes dedicated TAM
ACCT-1225,Enterprise,6,2027-11-07,Annual prepay
ACCT-1226,Mid-Market,12,2027-11-10,Security review completed
ACCT-1227,SMB,18,2027-11-13,Monthly billing
ACCT-1228,Enterprise,24,2027-11-16,Custom SLA 99.95
ACCT-1229,Mid-Market,36,2027-11-19,Onboarding in progress
ACCT-1230,SMB,6,2027-11-22,Data residency EU
ACCT-1231,Enterprise,12,2027-11-25,Includes premium support
ACCT-1232,Mid-Market,18,2027-11-28,Renewal discount 5 percent
ACCT-1233,SMB,24,2027-12-01,Custom data retention
ACCT-1234,Enterprise,36,2027-12-04,Standard support tier
ACCT-1235,Mid-Market,6,2027-12-07,Includes dedicated TAM
ACCT-1236,SMB,12,2027-12-10,Annual prepay
ACCT-1237,Enterprise,18,2027-12-13,Security review completed
ACCT-1238,Mid-Market,24,2027-12-16,Monthly billing
ACCT-1239,SMB,36,2027-12-19,Custom SLA 99.95
ACCT-1240,Enterprise,6,2027-12-22,Onboarding in progress
ACCT-1241,Mid-Market,12,2027-12-25,Data residency EU
ACCT-1242,SMB,18,2027-12-28,Includes premium support
ACCT-1243,Enterprise,24,2027-12-31,Renewal discount 5 percent
ACCT-1244,Mid-Market,36,2028-01-03,Custom data retention
ACCT-1245,SMB,6,2028-01-06,Standard support tier
ACCT-1246,Enterprise,12,2028-01-09,Includes dedicated TAM
ACCT-1247,Mid-Market,18,2028-01-12,Annual prepay
ACCT-1248,SMB,24,2028-01-15,Security review completed
ACCT-1249,Enterprise,36,2028-01-18,Monthly billing
ACCT-1250,Mid-Market,6,2028-01-21,Custom SLA 99.95
ACCT-1251,SMB,12,2028-01-24,Onboarding in progress
ACCT-1252,Enterprise,18,2028-01-27,Data residency EU
ACCT-1253,Mid-Market,24,2028-01-30,Includes premium support
ACCT-1254,SMB,36,2028-02-02,Renewal discount 5 percent
ACCT-1255,Enterprise,6,2028-02-05,Custom data retention
ACCT-1256,Mid-Market,12,2028-02-08,Standard support tier
ACCT-1257,SMB,18,2028-02-11,Includes dedicated TAM
ACCT-1258,Enterprise,24,2028-02-14,Annual prepay
ACCT-1259,Mid-Market,36,2028-02-17,Security review completed
ACCT-1260,SMB,6,2028-02-20,Monthly billing
ACCT-1261,Enterprise,12,2028-02-23,Custom SLA 99.95
ACCT-1262,Mid-Market,18,2028-02-26,Onboarding in progress
ACCT-1263,SMB,24,2028-02-29,Data residency EU
ACCT-1264,Enterprise,36,2028-03-03,Includes premium support
ACCT-1265,Mid-Market,6,2028-03-06,Renewal discount 5 percent
ACCT-1266,SMB,12,2028-03-09,Custom data retention
ACCT-1267,Enterprise,18,2028-03-12,Standard support tier
ACCT-1268,Mid-Market,24,2028-03-15,Includes dedicated TAM
ACCT-1269,SMB,36,2028-03-18,Annual prepay
ACCT-1270,Enterprise,6,2028-03-21,Security review completed
ACCT-1271,Mid-Market,12,2028-03-24,Monthly billing
ACCT-1272,SMB,18,2028-03-27,Custom SLA 99.95
ACCT-1273,Enterprise,24,2028-03-30,Onboarding in progress
ACCT-1274,Mid-Market,36,2028-04-02,Data residency EU
ACCT-1275,SMB,6,2028-04-05,Includes premium support
ACCT-1276,Enterprise,12,2028-04-08,Renewal discount 5 percent
ACCT-1277,Mid-Market,18,2028-04-11,Custom data retention
ACCT-1278,SMB,24,2028-04-14,Standard support tier
ACCT-1279,Enterprise,36,2028-04-17,Includes dedicated TAM
ACCT-1280,Mid-Market,6,2028-04-20,Annual prepay
ACCT-1281,SMB,12,2028-04-23,Security review completed
ACCT-1282,Enterprise,18,2028-04-26,Monthly billing
ACCT-1283,Mid-Market,24,2028-04-29,Custom SLA 99.95
ACCT-1284,SMB,36,2028-05-02,Onboarding in progress
ACCT-1285,Enterprise,6,2028-05-05,Data residency EU
ACCT-1286,Mid-Market,12,2028-05-08,Includes premium support
ACCT-1287,SMB,18,2028-05-11,Renewal discount 5 percent
ACCT-1288,Enterprise,24,2028-05-14,Custom data retention
ACCT-1289,Mid-Market,36,2028-05-17,Standard support tier
ACCT-1290,SMB,6,2028-05-20,Includes dedicated TAM
ACCT-1291,Enterprise,12,2028-05-23,Annual prepay
ACCT-1292,Mid-Market,18,2028-05-26,Security review completed
ACCT-1293,SMB,24,2028-05-29,Monthly billing
ACCT-1294,Enterprise,36,2028-06-01,Custom SLA 99.95
ACCT-1295,Mid-Market,6,2028-06-04,Onboarding in progress
ACCT-1296,SMB,12,2028-06-07,Data residency EU
ACCT-1297,Enterprise,18,2028-06-10,Includes premium support
ACCT-1298,Mid-Market,24,2028-06-13,Renewal discount 5 percent
ACCT-1299,SMB,36,2028-06-16,Custom data retention
ACCT-1300,Enterprise,6,2028-06-19,Standard support tier
ACCT-1301,Mid-Market,12,2028-06-22,Includes dedicated TAM
ACCT-1302,SMB,18,2028-06-25,Annual prepay
ACCT-1303,Enterprise,24,2028-06-28,Security review completed
ACCT-1304,Mid-Market,36,2028-07-01,Monthly billing
ACCT-1305,SMB,6,2028-07-04,Custom SLA 99.95
ACCT-1306,Enterprise,12,2028-07-07,Onboarding in progress
ACCT-1307,Mid-Market,18,2028-07-10,Data residency EU
ACCT-1308,SMB,24,2028-07-13,Includes premium support
ACCT-1309,Enterprise,36,2028-07-16,Renewal discount 5 percent
ACCT-1310,Mid-Market,6,2028-07-19,Custom data retention
ACCT-1311,SMB,12,2028-07-22,Standard support tier
ACCT-1312,Enterprise,18,2028-07-25,Includes dedicated TAM
ACCT-1313,Mid-Market,24,2028-07-28,Annual prepay
ACCT-1314,SMB,36,2028-07-31,Security review completed
ACCT-1315,Enterprise,6,2028-08-03,Monthly billing
ACCT-1316,Mid-Market,12,2028-08-06,Custom SLA 99.95
ACCT-1317,SMB,18,2028-08-09,Onboarding in progress
ACCT-1318,Enterprise,24,2028-08-12,Data residency EU
ACCT-1319,Mid-Market,36,2028-08-15,Includes premium support
ACCT-1320,SMB,6,2028-08-18,Renewal discount 5 percent
